id,external_id,title,department,location,state,city,job_type,salary_min,salary_max,posted_date,url,description,qualifications,scraped_at,unique_key,company_name,subdomain,portal_slug,sector,ats_type
1674038,7990,Digital Marketing Manager,Marketing (apetito),UK-Wiltshire-Trowbridge,,,Fixed-Term (Full-Time),,,2026-09-04T00:00:00,https://careers-apetito.icims.com/jobs/jobs/7990/job,"Fixed term contract for 12 months Join our rapidly growing business in a role as Digital Marketing Manager (FTC) focusing primarily on the digital marketing and paid digital strategies to support B2B’s commercial growth, as well as managing the apetito.co.uk website strategy. As a digital marketing specialist, your role will be pivotal in enhancing our online presence. Reporting to the Head of Proposition & Marketing, you will play a key role in contributing to the company’s ambitious growth targets and driving our online brand visibility. This is a fantastic opportunity for a collaborative, analytical and creative marketeer to work within a supportive, experienced and passionate team. This role is based in Trowbridge and you will be required to work on-site at least 3 days per week.",,2026-03-28T07:28:46.930010,f8adcf7f0c76edf7,Careers Apetito,careers-apetito.icims.com,careers-apetito,other,icims
1674037,8020,Senior PR Executive,PR / Internal Comms,UK-Wiltshire-Trowbridge,,,Permanent (Full-Time),,,2026-06-04T00:00:00,https://careers-apetito.icims.com/jobs/jobs/8020/job,"As Senior PR Executive, you will play a key role in delivering high-quality, impactful PR activity that strengthens apetito’s reputation across our priority markets. You will need a high degree of autonomy and judgement, and be trusted to lead the delivery of high-profile PR activity under the direction of the PR Manager. Sitting within the central Brand & Communications team, you will work closely with colleagues across the business and external partners to bring our stories to life, ensuring our voice is credible, consistent and values-led. You will also act as a role model within the PR team, helping to maintain high standards and support the development of others. Most importantly, you will help share how apetito and Wiltshire Farm Foods are making a real difference to customers, communities and colleagues every single day. At apetito | Wiltshire Farm Foods, we are on an ambitious journey. With bold growth targets ahead, how we tell our story and protect our reputation will play a critical role in helping us succeed. We are looking for someone with experience in PR and media relations, able to craft compelling stories as well as demonstrate the commercial impact of PR delivery. This role is based in our Trowbridge head office and you will need to be on site at least 3 days per week.",,2026-03-28T07:28:46.929686,7cd3650fc4772070,Careers Apetito,careers-apetito.icims.com,careers-apetito,other,icims
1674035,8027,Customer Delivery Driver/Picker,Wiltshire Farm Foods (Drivers),UK-Hampshire-Newbury,,,Permanent (Full-Time),13.05,,2026-03-31T00:00:00,https://careers-apetito.icims.com/jobs/jobs/8027/job,"This position is working 40 hours per week, any 5 in 6 days including bank holidays. Our drivers are the face of our business and their interaction with our customers is crucial to our success. In this role you will be delivering frozen Wiltshire Farm Foods meals and bringing sunshine to our customers doors (no matter what the weather is doing). As such, you will enjoy meeting people and always be willing to go above and beyond what is expected. Along with this, you will be working within our coldstore that runs at a chilly -20ºc. Protective clothing designed to deal with this temperature will be provided along with breaks to warm up and have a hot drink when necessary. You will need to work as part of the wider team always looking to help out the office team. We encourage movement between teams to provide flexibility, job satisfaction, personal development and knowledge of the whole business. We’re passionate about Making a Real Difference to people’s lives with delicious and nutritious meals for everyone to enjoy. View our latest TV ad here: https://www.wiltshirefarmfoods.com/blog/our-new-tv-ad-launches £13.05 per hour(£13.45 per hour from 1 May 2026) + bonus + company benefits.",,2026-03-28T07:28:46.929444,aaf28f01a43c6fc3,Careers Apetito,careers-apetito.icims.com,careers-apetito,other,icims
1706199,8019,Technical Manager,Other,UK-Wiltshire-Trowbridge,,,Permanent (Full-Time),,,2026-03-30T00:00:00,https://careers-apetito.icims.com/jobs/jobs/8019/job,"Technical Manager – Be at the Heart of a Major New Investment Join apetito at a transformational moment in our journey. Having exceeded £260m turnover, we are now investing over £100m in building a state‑of‑the‑art manufacturing facility —a major milestone that will support our continued growth and innovation in food manufacturing. As our new Technical Manager, you’ll play a pivotal role not only in leading food safety and quality during the operational phase, but also in shaping the future of the site as it comes to life. This includes valuable involvement throughout the installation and commissioning of the new facility—an opportunity few roles can offer. What You’ll Be Doing While construction is underway, you’ll be based in our existing kitchen, located just a short walk from the new site. Reporting to the Group Technical Manager, you will: Work closely with the current Site Technical Manager to support the team with a strong focus on systems, governance, and compliance Build a deep understanding of our complex operation—managing hundreds of ingredients and materials that go into producing hundreds of delicious, nutritious recipes Begin partnering with the project team as the new build progresses, ensuring that food safety and quality standards are fully embedded throughout installation and commissioning Recruit, develop, and inspire your new team, building strong relationships across the site Design and implement robust quality systems to support the new kitchen’s launch Ensure we achieve food registration and secure an AA grade against the BRCGS Global Standard for Food Safety at the earliest opportunity",,2026-03-27T07:39:37.228299,77b3272fdf5382bb,Careers Apetito,careers-apetito.icims.com,careers-apetito,other,icims
1674036,8026,Customer Service Advisor,Wiltshire Farm Foods,UK-Devon-South Molton,,,Permanent (Full-Time),1.0,2026.0,2026-03-30T00:00:00,https://careers-apetito.icims.com/jobs/jobs/8026/job,"This role is working 30 hours per week, any 4 in 6 days The role of our Customer Services Advisor is critical to the success of our business. Our customers are predominantly elderly and rely upon our office teams to take their orders over the phone or via the internet. The defining characteristics of our Customer Services Advisors are that they’re organised and efficient. However, apart from the technical skills that are required with the role, the most important attributes are that we demonstrate empathy, patience, kindness, friendliness, care and warmth to all our customers. The role involves the taking of customer orders and also the making of outbound courtesy calls. These calls are particularly important as many customers live alone and the phone calls they receive are often the only contact they may have in a single day. As such, many customers become very attached to their “friends” at Wiltshire Farm Foods. Wiltshire Farm Foods supplies frozen meal solutions direct to the consumer. We have a cold store to accommodate the stock necessary to be able to be able to deliver to our customers each week. The ultimate goal is to provide a service to our customers that exceed expectations while at the same time continuously improving efficiencies. £13.05 per hour (£13.45 per hour from 1st May 2026) + bonus + company benefits.",,2026-03-28T07:28:46.929606,37f3fce6263337b5,Careers Apetito,careers-apetito.icims.com,careers-apetito,other,icims
1706200,8018,Customer Delivery Driver/Picker,Wiltshire Farm Foods (Drivers),UK-Lancashire-Accrington,,,Permanent (Part-Time),1.0,2026.0,2026-03-29T00:00:00,https://careers-apetito.icims.com/jobs/jobs/8018/job,"This position is working 24 hours per week, any 3 in 6 days including bank holidays. Our drivers are the face of our business and their interaction with our customers is crucial to our success. In this role you will be delivering frozen Wiltshire Farm Foods meals and bringing sunshine to our customers doors (no matter what the weather is doing). As such, you will enjoy meeting people and always be willing to go above and beyond what is expected. Along with this, you will be working within our coldstore that runs at a chilly -20ºc. Protective clothing designed to deal with this temperature will be provided along with breaks to warm up and have a hot drink when necessary. You will need to work as part of the wider team always looking to help out the office team. We encourage movement between teams to provide flexibility, job satisfaction, personal development and knowledge of the whole business. We’re passionate about Making a Real Difference to people’s lives with delicious and nutritious meals for everyone to enjoy. View our latest TV ad here: https://www.wiltshirefarmfoods.com/blog/our-new-tv-ad-launches £13.05 per hour (£13.45 per hour from 1st May 2026) + bonus + company benefits.",,2026-03-27T07:39:37.228479,8547ffdd8ef07aba,Careers Apetito,careers-apetito.icims.com,careers-apetito,other,icims
1642655,162941,Clinical Risk Manager,Nursing,US-GA-Atlanta,,,,,,2026-03-27T19:45:00,https://ehccareers-emory.icims.com/jobs/jobs/162941/job,,,2026-03-28T07:55:01.136097,0acb3be9307971f0,Emory Healthcare,ehccareers-emory.icims.com,ehccareers-emory,university_hospital,icims
1642664,161419,Data Analyst III - Transplant,Information Technology,US-GA-Atlanta,,,,,,2026-03-27T16:24:00,https://ehccareers-emory.icims.com/jobs/jobs/161419/job,,,2026-03-28T07:55:01.137054,81cf2d625745af86,Emory Healthcare,ehccareers-emory.icims.com,ehccareers-emory,university_hospital,icims
1642656,162937,Pharmacy Technician,Pharmacy,US-GA-Atlanta,,,,,,2026-03-27T15:06:00,https://ehccareers-emory.icims.com/jobs/jobs/162937/job,,,2026-03-28T07:55:01.136121,751be2c2d2ccac99,Emory Healthcare,ehccareers-emory.icims.com,ehccareers-emory,university_hospital,icims
1642650,163142,"Director, Patient Care Service / Physician Division",Nursing,US-GA-Atlanta,,,,,,2026-03-27T14:46:00,https://ehccareers-emory.icims.com/jobs/jobs/163142/job,,,2026-03-28T07:55:01.135953,c02462b85df9605f,Emory Healthcare,ehccareers-emory.icims.com,ehccareers-emory,university_hospital,icims
